name,price
"APPLE iPhone SE (Black, 64 GB)","₹25,999"
"APPLE iPhone 13 (Midnight, 128 GB)","₹74,900"
"APPLE iPhone 13 Mini (Blue, 128 GB)","₹59,999"
"APPLE iPhone 13 Mini (Pink, 128 GB)","₹59,999"
"APPLE iPhone 13 (Blue, 128 GB)","₹74,900"
"APPLE iPhone 13 (Starlight, 128 GB)","₹74,900"
"APPLE iPhone 13 Mini ((PRODUCT)RED, 128 GB)","₹59,999"
"APPLE iPhone SE (Red, 64 GB)","₹29,999"
"APPLE iPhone 11 (Red, 128 GB)","₹52,990"
"APPLE iPhone 13 Mini (Starlight, 128 GB)","₹59,999"
"APPLE iPhone 12 Mini (Blue, 64 GB)","₹49,999"
"APPLE iPhone 13 (Pink, 128 GB)","₹74,900"
"APPLE iPhone 13 Mini (Midnight, 128 GB)","₹59,999"
"APPLE iPhone SE (White, 64 GB)","₹29,999"
"APPLE iPhone 13 (Green, 256 GB)","₹84,900"
"APPLE iPhone SE (White, 128 GB)","₹34,999"
"APPLE iPhone 11 (Green, 64 GB)","₹49,900"
"APPLE iPhone 11 (White, 64 GB)","₹48,990"
"APPLE iPhone 13 ((PRODUCT)RED, 128 GB)","₹74,900"
"APPLE iPhone 12 Mini (Black, 64 GB)","₹49,999"
"APPLE iPhone SE (3rd Gen) (Starlight, 64 GB)","₹43,900"
"APPLE iPhone SE (3rd Gen) (Midnight, 64 GB)","₹43,900"
"APPLE iPhone 13 Mini ((PRODUCT)RED, 256 GB)","₹69,999"
"APPLE iPhone SE (Red, 128 GB)","₹27,999"
"APPLE iPhone SE (Black, 64 GB)","₹25,999"
"APPLE iPhone 13 (Midnight, 128 GB)","₹74,900"
"APPLE iPhone 13 Mini (Blue, 128 GB)","₹59,999"
"APPLE iPhone 13 Mini (Pink, 128 GB)","₹59,999"
"APPLE iPhone 13 (Blue, 128 GB)","₹74,900"
"APPLE iPhone 13 (Starlight, 128 GB)","₹74,900"
"APPLE iPhone 13 Mini ((PRODUCT)RED, 128 GB)","₹59,999"
"APPLE iPhone SE (Red, 64 GB)","₹29,999"
"APPLE iPhone 11 (Red, 128 GB)","₹52,990"
"APPLE iPhone 13 Mini (Starlight, 128 GB)","₹59,999"
"APPLE iPhone 12 Mini (Blue, 64 GB)","₹49,999"
"APPLE iPhone 13 (Pink, 128 GB)","₹74,900"
"APPLE iPhone 13 Mini (Midnight, 128 GB)","₹59,999"
"APPLE iPhone SE (White, 64 GB)","₹29,999"
"APPLE iPhone 13 (Green, 256 GB)","₹84,900"
"APPLE iPhone SE (White, 128 GB)","₹34,999"
"APPLE iPhone 11 (Green, 64 GB)","₹49,900"
"APPLE iPhone 11 (White, 64 GB)","₹48,990"
"APPLE iPhone 13 ((PRODUCT)RED, 128 GB)","₹74,900"
"APPLE iPhone 12 Mini (Black, 64 GB)","₹49,999"
"APPLE iPhone SE (3rd Gen) (Starlight, 64 GB)","₹43,900"
"APPLE iPhone SE (3rd Gen) (Midnight, 64 GB)","₹43,900"
"APPLE iPhone 13 Mini ((PRODUCT)RED, 256 GB)","₹69,999"
"APPLE iPhone SE (Red, 128 GB)","₹27,999"
"APPLE iPhone SE (Black, 64 GB)","₹25,999"
"APPLE iPhone 13 (Midnight, 128 GB)","₹74,900"
"APPLE iPhone 13 Mini (Blue, 128 GB)","₹59,999"
"APPLE iPhone 13 Mini (Pink, 128 GB)","₹59,999"
"APPLE iPhone 13 (Blue, 128 GB)","₹74,900"
"APPLE iPhone 13 (Starlight, 128 GB)","₹74,900"
"APPLE iPhone 13 Mini ((PRODUCT)RED, 128 GB)","₹59,999"
"APPLE iPhone SE (Red, 64 GB)","₹29,999"
"APPLE iPhone 11 (Red, 128 GB)","₹52,990"
"APPLE iPhone 13 Mini (Starlight, 128 GB)","₹59,999"
"APPLE iPhone 12 Mini (Blue, 64 GB)","₹49,999"
"APPLE iPhone 13 (Pink, 128 GB)","₹74,900"
"APPLE iPhone 13 Mini (Midnight, 128 GB)","₹59,999"
"APPLE iPhone SE (White, 64 GB)","₹29,999"
"APPLE iPhone 13 (Green, 256 GB)","₹84,900"
"APPLE iPhone SE (White, 128 GB)","₹34,999"
"APPLE iPhone 11 (Green, 64 GB)","₹49,900"
"APPLE iPhone 11 (White, 64 GB)","₹48,990"
"APPLE iPhone 13 ((PRODUCT)RED, 128 GB)","₹74,900"
"APPLE iPhone 12 Mini (Black, 64 GB)","₹49,999"
"APPLE iPhone SE (3rd Gen) (Starlight, 64 GB)","₹43,900"
"APPLE iPhone SE (3rd Gen) (Midnight, 64 GB)","₹43,900"
"APPLE iPhone 13 Mini ((PRODUCT)RED, 256 GB)","₹69,999"
"APPLE iPhone SE (Red, 128 GB)","₹27,999"
"APPLE iPhone SE (Black, 64 GB)","₹25,999"
"APPLE iPhone 13 (Midnight, 128 GB)","₹74,900"
"APPLE iPhone 13 Mini (Blue, 128 GB)","₹59,999"
"APPLE iPhone 13 Mini (Pink, 128 GB)","₹59,999"
"APPLE iPhone 13 (Blue, 128 GB)","₹74,900"
"APPLE iPhone 13 (Starlight, 128 GB)","₹74,900"
"APPLE iPhone 13 Mini ((PRODUCT)RED, 128 GB)","₹59,999"
"APPLE iPhone SE (Red, 64 GB)","₹29,999"
"APPLE iPhone 11 (Red, 128 GB)","₹52,990"
"APPLE iPhone 13 Mini (Starlight, 128 GB)","₹59,999"
"APPLE iPhone 12 Mini (Blue, 64 GB)","₹49,999"
"APPLE iPhone 13 (Pink, 128 GB)","₹74,900"
"APPLE iPhone 13 Mini (Midnight, 128 GB)","₹59,999"
"APPLE iPhone SE (White, 64 GB)","₹29,999"
"APPLE iPhone 13 (Green, 256 GB)","₹84,900"
"APPLE iPhone SE (White, 128 GB)","₹34,999"
"APPLE iPhone 11 (Green, 64 GB)","₹49,900"
"APPLE iPhone 11 (White, 64 GB)","₹48,990"
"APPLE iPhone 13 ((PRODUCT)RED, 128 GB)","₹74,900"
"APPLE iPhone 12 Mini (Black, 64 GB)","₹49,999"
"APPLE iPhone SE (3rd Gen) (Starlight, 64 GB)","₹43,900"
"APPLE iPhone SE (3rd Gen) (Midnight, 64 GB)","₹43,900"
"APPLE iPhone 13 Mini ((PRODUCT)RED, 256 GB)","₹69,999"
"APPLE iPhone SE (Red, 128 GB)","₹27,999"
"APPLE iPhone SE (Black, 64 GB)","₹25,999"
"APPLE iPhone 13 (Midnight, 128 GB)","₹74,900"
"APPLE iPhone 13 Mini (Blue, 128 GB)","₹59,999"
"APPLE iPhone 13 Mini (Pink, 128 GB)","₹59,999"
"APPLE iPhone 13 (Blue, 128 GB)","₹74,900"
"APPLE iPhone 13 (Starlight, 128 GB)","₹74,900"
"APPLE iPhone 13 Mini ((PRODUCT)RED, 128 GB)","₹59,999"
"APPLE iPhone SE (Red, 64 GB)","₹29,999"
"APPLE iPhone 11 (Red, 128 GB)","₹52,990"
"APPLE iPhone 13 Mini (Starlight, 128 GB)","₹59,999"
"APPLE iPhone 12 Mini (Blue, 64 GB)","₹49,999"
"APPLE iPhone 13 (Pink, 128 GB)","₹74,900"
"APPLE iPhone 13 Mini (Midnight, 128 GB)","₹59,999"
"APPLE iPhone SE (White, 64 GB)","₹29,999"
"APPLE iPhone 13 (Green, 256 GB)","₹84,900"
"APPLE iPhone SE (White, 128 GB)","₹34,999"
"APPLE iPhone 11 (Green, 64 GB)","₹49,900"
"APPLE iPhone 11 (White, 64 GB)","₹48,990"
"APPLE iPhone 13 ((PRODUCT)RED, 128 GB)","₹74,900"
"APPLE iPhone 12 Mini (Black, 64 GB)","₹49,999"
"APPLE iPhone SE (3rd Gen) (Starlight, 64 GB)","₹43,900"
"APPLE iPhone SE (3rd Gen) (Midnight, 64 GB)","₹43,900"
"APPLE iPhone 13 Mini ((PRODUCT)RED, 256 GB)","₹69,999"
"APPLE iPhone SE (Red, 128 GB)","₹27,999"
"APPLE iPhone SE (Black, 64 GB)","₹25,999"
"APPLE iPhone 13 (Midnight, 128 GB)","₹74,900"
"APPLE iPhone 13 Mini (Blue, 128 GB)","₹59,999"
"APPLE iPhone 13 Mini (Pink, 128 GB)","₹59,999"
"APPLE iPhone 13 (Blue, 128 GB)","₹74,900"
"APPLE iPhone 13 (Starlight, 128 GB)","₹74,900"
"APPLE iPhone 13 Mini ((PRODUCT)RED, 128 GB)","₹59,999"
"APPLE iPhone SE (Red, 64 GB)","₹29,999"
"APPLE iPhone 11 (Red, 128 GB)","₹52,990"
"APPLE iPhone 13 Mini (Starlight, 128 GB)","₹59,999"
"APPLE iPhone 12 Mini (Blue, 64 GB)","₹49,999"
"APPLE iPhone 13 (Pink, 128 GB)","₹74,900"
"APPLE iPhone 13 Mini (Midnight, 128 GB)","₹59,999"
"APPLE iPhone SE (White, 64 GB)","₹29,999"
"APPLE iPhone 13 (Green, 256 GB)","₹84,900"
"APPLE iPhone SE (White, 128 GB)","₹34,999"
"APPLE iPhone 11 (Green, 64 GB)","₹49,900"
"APPLE iPhone 11 (White, 64 GB)","₹48,990"
"APPLE iPhone 13 ((PRODUCT)RED, 128 GB)","₹74,900"
"APPLE iPhone 12 Mini (Black, 64 GB)","₹49,999"
"APPLE iPhone SE (3rd Gen) (Starlight, 64 GB)","₹43,900"
"APPLE iPhone SE (3rd Gen) (Midnight, 64 GB)","₹43,900"
"APPLE iPhone 13 Mini ((PRODUCT)RED, 256 GB)","₹69,999"
